time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),label_guodu,label_start
60.53,-0.1401,-0.1372,1.0391,-6.2256,9.1553,-2.8076,1,0
60.535,-0.1641,-0.1348,1.0645,-7.8125,7.9346,-3.2349,1,0
60.54,-0.1851,-0.1445,1.0869,-10.8032,7.2021,-3.2349,1,0
60.545,-0.1934,-0.1567,1.1338,-13.3057,6.7139,-2.8687,1,0
60.55,-0.2031,-0.1641,1.1929,-17.0288,7.3242,-2.5635,1,0
60.555,-0.2021,-0.1704,1.2852,-20.3857,9.3384,-2.3804,1,0
60.56,-0.2183,-0.1816,1.3848,-23.1323,11.2305,-2.3193,1,0
60.565,-0.2822,0.0044,1.5264,-32.6538,14.4043,-3.7842,1,0
60.57,-0.271,-0.0652,1.61185,-28.1372,22.1863,-2.0447,1,0
60.575,-0.2598,-0.1348,1.6973,-23.6206,29.9683,-0.3052,1,0
60.58,-0.3047,-0.1318,1.7437,-29.1138,28.9307,-1.9531,1,0
60.585,-0.3086,-0.1377,1.8652,-23.0713,32.2876,-0.6104,1,0
60.59,-0.3276,-0.1362,1.916,-21.9116,38.3301,0.3052,1,0
60.595,-0.3936,-0.1313,1.9058,-17.395,42.1753,1.709,1,0
60.6,-0.4531,-0.1118,1.8687,-9.3994,32.4097,6.5918,1,0
60.605,-0.50635,-0.1162,1.8179,-8.05665,28.56445,8.42285,1,0
60.61,-0.5596,-0.1206,1.7671,-6.7139,24.7192,10.2539,1,0
60.615,-0.6313,-0.1396,1.6904,-2.6245,10.376,15.2588,1,0
60.62,-0.6821,-0.1587,1.6396,1.2817,-9.7656,20.5688,1,0
60.625,-0.7178,-0.1621,1.6025,4.6387,-30.5786,26.7944,1,0
60.63,-0.7466,-0.1694,1.5908,6.958,-53.0396,33.8745,1,0
60.635,-0.7578,-0.189,1.6255,9.8877,-76.9043,41.1987,1,0
60.64,-0.7397,-0.2114,1.6934,12.5732,-99.4873,48.7061,1,0
60.645,-0.7114,-0.2368,1.7822,16.1133,-118.7744,55.9082,1,0
60.65,-0.6743,-0.2603,1.9014,19.6533,-133.7891,62.5,1,0
60.655,-0.6245,-0.2749,2.0386,23.8037,-143.5547,68.5425,1,0
60.66,-0.5156,-0.2915,2.3018,31.6772,-145.4468,78.6133,1,0
60.665,-0.49485,-0.2981,2.3462,34.17965,-142.4866,80.62745,1,0
60.67,-0.4741,-0.3047,2.3906,36.6821,-139.5264,82.6416,1,0
60.675,-0.439,-0.3018,2.4375,41.8091,-130.4932,86.3037,1,0
60.68,-0.377,-0.2964,2.4482,51.6357,-108.6426,92.2852,1,0
60.685,-0.3574,-0.2822,2.416,55.9692,-96.8018,95.0928,1,0
60.69,-0.3574,-0.2822,2.416,55.9692,-96.8018,95.0928,1,0
60.695,-0.3398,-0.2651,2.3682,60.1807,-85.8154,97.9614,1,0
60.7,-0.3071,-0.2085,2.2192,67.1387,-67.4438,104.3701,1,0
60.705,-0.29635,-0.1914,2.1731,68.3594,-63.81225,105.86545,1,0
60.71,-0.2856,-0.1743,2.127,69.5801,-60.1807,107.3608,1,0
60.715,-0.2651,-0.1431,2.0396,71.0449,-54.7485,110.0464,1,0
60.72,-0.2368,-0.1099,1.96,71.9604,-50.0488,112.4878,1,0
60.725,-0.208,-0.0728,1.8857,71.6553,-46.2646,114.7461,1,0
60.73,-0.167,-0.0435,1.8267,69.9463,-42.4194,116.5161,1,0
60.735,-0.0361,0.0308,1.8086,65.4297,-36.1328,120.3003,1,0
60.74,-0.0493,0.0415,1.7759,63.9038,-32.4707,117.5537,1,0
60.745,-0.0508,0.0488,1.731,62.3779,-32.7148,115.6006,1,0
60.75,0.0332,0.0811,1.7612,61.2793,-30.3955,112.7319,1,0
60.755,0.0879,0.1064,1.7627,59.4482,-21.2402,108.3374,1,0
60.76,0.1138,0.1196,1.7427,57.4341,-14.0991,102.8442,1,0
60.765,0.1499,0.1362,1.7563,57.4951,-10.6201,95.1538,1,0
60.77,0.2007,0.1699,1.7715,58.5938,-4.2114,85.8154,1,0
60.775,0.2241,0.1855,1.7661,60.791,3.2349,74.7681,1,0
60.78,0.2212,0.1865,1.7422,64.3311,8.606,63.0493,1,0
60.785,0.208,0.1909,1.6948,69.0308,11.9629,50.9033,1,0
60.79,0.1841,0.1797,1.6226,73.7305,15.1978,39.1846,1,0
60.795,0.1284,0.103,1.4653,83.8013,13.4888,18.4326,1,0
60.8,0.0786,0.0879,1.3286,90.271,7.9346,8.1177,1,0
60.805,0.0786,0.0879,1.3286,90.271,7.9346,8.1177,1,0
60.81,0.0376,0.0757,1.23,95.8252,-0.7324,-1.1597,1,0
60.815,-0.0562,0.0239,1.063,103.6987,-19.2261,-13.7329,1,0
60.82,-0.0757,-0.0032,1.03395,105.31615,-25.1465,-16.3574,1,0
60.825,-0.0952,-0.0303,1.0049,106.9336,-31.0669,-18.9819,1,0
60.83,-0.1211,-0.0732,0.9595,110.1685,-42.8467,-23.0713,1,0
60.835,-0.1353,-0.0972,0.9302,112.5488,-53.3447,-26.4893,1,0
60.84,-0.1455,-0.1201,0.9106,114.4409,-61.0352,-29.2969,1,0
60.845,-0.1509,-0.1348,0.9067,115.4785,-66.4673,-31.6162,1,0
60.85,-0.1543,-0.1602,0.9141,116.8213,-69.3359,-33.3252,1,0
60.855,-0.1484,-0.1904,0.9243,117.7979,-63.5986,-34.1797,1,0
60.86,-0.1494,-0.2061,0.9019,118.042,-56.8848,-32.8369,1,0
60.865,-0.1494,-0.2061,0.9019,118.042,-56.8848,-32.8369,1,0
60.87,-0.1465,-0.2197,0.8516,118.4692,-49.7437,-30.5786,1,0
60.875,-0.1108,-0.2324,0.6787,118.103,-35.8887,-24.5361,1,0
60.88,-0.0869,-0.2344,0.5742,116.5161,-31.4941,-21.7896,1,0
60.885,-0.0869,-0.2344,0.5742,116.5161,-31.4941,-21.7896,1,0
60.89,-0.0596,-0.2363,0.4736,114.1968,-28.8086,-19.165,1,0
60.895,-0.0273,-0.2402,0.3779,111.145,-28.1372,-17.2119,1,0
60.9,0.0059,-0.2437,0.2935,107.605,-29.7852,-15.9302,1,0
60.905,0.043,-0.2334,0.2188,103.8208,-33.3862,-15.625,1,0
60.91,0.0742,-0.2471,0.1572,99.4873,-37.9028,-15.5029,1,0
60.915,0.1089,-0.2642,0.127,88.8672,-46.0815,-16.2354,1,0
60.91,0.1807,-0.2788,0.1138,84.1064,-49.7437,-17.5781,1,0
60.915,0.1807,-0.2788,0.1138,84.1064,-49.7437,-17.5781,1,0
60.92,0.1807,-0.2788,0.1138,84.1064,-49.7437,-17.5781,1,0
60.925,0.1807,-0.2788,0.1138,84.1064,-49.7437,-17.5781,1,0
60.93,0.2168,-0.271,0.1416,79.4678,-52.2461,-20.0806,1,0
60.935,0.2461,-0.2793,0.1836,75.5615,-52.1851,-23.1934,1,0
60.94,0.2646,-0.293,0.2285,72.6318,-49.7437,-26.6724,1,0
60.945,0.2725,-0.2959,0.2651,70.8008,-45.4102,-29.6631,1,0
60.95,0.2915,-0.2656,0.3027,69.397,-39.5508,-32.3486,1,0
60.955,0.313,-0.2505,0.3311,67.627,-31.4331,-35.0952,1,0
60.96,0.3276,-0.2427,0.3813,64.8193,-7.9346,-40.8325,1,0
60.965,0.3262,-0.2334,0.3765,64.6362,3.54,-43.5791,1,0
60.97,0.3262,-0.2334,0.3765,64.6362,3.54,-43.5791,1,0
60.975,0.3315,-0.2207,0.3701,64.5752,14.6484,-46.2646,1,0
60.98,0.3188,-0.2012,0.3271,64.27,37.9639,-51.0864,1,0
60.985,0.3032,-0.1885,0.2827,64.3311,46.875,-52.4292,1,0
60.99,0.3032,-0.1885,0.2827,64.3311,46.875,-52.4292,1,0
60.995,0.2881,-0.187,0.2368,64.4531,53.4058,-53.772,1,0
61,0.293,-0.1763,0.1875,62.9883,63.8428,-56.5796,1,0
61.005,0.2861,-0.1753,0.1753,62.3779,67.2607,-58.2275,1,0
61.01,0.2861,-0.1753,0.1753,62.3779,67.2607,-58.2275,1,0
61.015,0.2637,-0.1836,0.1548,63.1714,68.0542,-59.8145,1,0
61.02,0.2368,-0.1704,0.0923,64.9414,64.8193,-61.2183,1,0
61.025,0.2295,-0.1489,0.0562,64.1479,62.1338,-61.5234,1,0
61.03,0.2295,-0.1489,0.0562,64.1479,62.1338,-61.5234,1,0
61.035,0.2192,-0.1216,0.0264,62.1948,57.9834,-60.5469,1,0
61.04,0.2188,-0.1226,0.0259,60.5469,53.4668,-63.3545,1,0
61.045,0.1914,-0.1201,0.0386,59.2041,49.3774,-64.3921,1,0
61.05,0.1699,-0.1245,0.0737,57.1899,45.2881,-64.5752,1,0
61.055,0.1553,-0.1152,0.1089,55.481,42.9077,-63.5986,1,0
61.06,0.1392,-0.0933,0.1362,53.2227,40.7104,-62.0728,1,0
61.065,0.1313,-0.0669,0.165,51.2695,39.7949,-60.5469,1,0
61.07,0.1172,-0.0688,0.1812,48.8281,40.1611,-58.7769,1,0
61.075,0.0864,-0.0679,0.1812,46.0205,41.1377,-56.3965,1,0
61.08,0.0601,-0.0576,0.1611,42.6636,41.1377,-53.0396,1,0
61.085,0.0366,-0.0059,0.127,34.0576,37.7808,-45.166,1,0
61.09,0.0317,-0.0068,0.1201,27.5269,35.4614,-41.5039,1,0
61.095,0.0317,-0.0068,0.1201,27.5269,35.4614,-41.5039,1,0
61.1,0.0146,0.0015,0.1182,21.1182,32.5317,-37.9639,1,0
61.105,-0.02,-0.0039,0.1592,9.7046,21.6675,-28.5034,1,0
61.11,-0.02,-0.0039,0.1592,9.7046,21.6675,-28.5034,1,0
61.115,-0.0278,-0.0044,0.1895,4.3945,14.5874,-22.8882,1,0
61.12,-0.0229,0.0449,0.2202,-0.4883,6.7749,-17.8223,1,0
61.125,0.0093,0.085,0.3579,-8.3008,-6.8359,-9.3384,1,0
61.12,0.0063,0.082,0.4331,-10.498,-11.8408,-5.7983,1,0
61.125,0.0063,0.082,0.4331,-10.498,-11.8408,-5.7983,1,0
61.13,0.0063,0.082,0.4331,-10.498,-11.8408,-5.7983,1,0
61.135,0.0063,0.082,0.4331,-10.498,-11.8408,-5.7983,1,0
61.14,0.0112,0.1006,0.498,-11.5356,-16.6626,-2.0752,1,0
61.145,0.0488,0.1851,0.6152,-12.2681,-22.8271,3.1128,1,0
61.15,0.0488,0.1851,0.6152,-12.2681,-22.8271,3.1128,1,0
61.155,0.0601,0.2012,0.6836,-13.4888,-21.5454,4.8828,1,0
61.16,0.0557,0.1958,0.751,-14.1602,-18.6768,6.2866,1,0
61.165,0.0503,0.1753,0.8101,-13.3057,-15.7471,8.3618,1,0
61.17,0.0459,0.1738,0.8525,-11.5967,-13.0615,10.6812,1,0
61.175,0.0547,0.187,0.8701,-9.6436,-9.7656,12.8174,1,0
61.18,0.0586,0.1865,0.8711,-8.606,-5.4321,15.3809,1,0
61.185,0.0552,0.1855,0.8574,-8.3618,-1.77,17.8833,1,0
61.19,0.0586,0.1953,0.8369,-8.1177,-0.061,20.752,1,0
61.195,0.0669,0.207,0.8237,-7.8125,-0.2441,23.3154,1,0
61.2,0.0879,0.2056,0.8252,-7.7515,0.1221,25.2686,1,0
61.205,0.0942,0.2114,0.8174,-8.1787,0.061,27.1606,0,0
61.21,0.1289,0.2319,0.8271,-8.5449,-2.5635,29.6021,0,0
61.215,0.1289,0.2319,0.8271,-8.5449,-2.5635,29.6021,0,0
61.22,0.1523,0.2437,0.8442,-8.4229,-3.8452,29.8462,0,0
61.225,0.1753,0.272,0.8511,-8.3008,-4.2114,29.2969,0,0
61.23,0.2271,0.3188,0.9023,-8.606,-4.7607,25.2075,0,0
61.235,0.2271,0.3188,0.9023,-8.606,-4.7607,25.2075,0,0
61.24,0.2422,0.3276,0.9409,-8.9722,-3.54,22.0947,0,0
61.245,0.2554,0.3345,0.9722,-8.3618,-2.3804,18.2495,0,0
61.25,0.2676,0.3555,1.0137,-6.2866,0.1221,9.7656,0,0
61.255,0.2676,0.3555,1.0137,-6.2866,0.1221,9.7656,0,0
61.26,0.2607,0.3608,1.0293,-5.188,2.6245,4.8218,0,0
61.265,0.2349,0.3447,1.0425,-3.479,4.3335,0.1831,0,0
61.27,0.1709,0.3232,1.0186,0,4.9438,-6.3477,0,0
61.275,0.146,0.311,1.0049,1.0376,4.6997,-8.4229,0,0
61.28,0.146,0.311,1.0049,1.0376,4.6997,-8.4229,0,0
61.285,0.1143,0.2852,0.9873,1.709,3.6011,-9.9487,0,0
61.29,0.0493,0.252,0.9482,3.9063,-2.9907,-10.8032,0,0
61.295,0.0205,0.2539,0.9121,5.127,-8.8501,-10.5591,0,0
61.3,0.0205,0.2539,0.9121,5.127,-8.8501,-10.5591,0,0
61.305,-0.0039,0.27,0.8838,5.4932,-14.7705,-9.7656,0,0
61.31,-0.0093,0.2866,0.8799,5.3711,-21.7285,-8.8501,0,0
61.315,-0.022,0.2847,0.8936,5.127,-28.6255,-7.9346,0,0
61.32,-0.0313,0.27,0.9292,5.8594,-34.729,-6.7749,0,0
61.325,-0.0386,0.2642,0.9834,7.2632,-39.3066,-5.6152,0,0
61.33,-0.0283,0.2842,1.1191,11.9019,-38.5742,-1.709,0,0
61.335,-0.0283,0.2842,1.1191,11.9019,-38.5742,-1.709,0,0
61.34,-0.0283,0.2842,1.1191,11.9019,-38.5742,-1.709,0,0
61.345,-0.0166,0.2739,1.1621,13.4888,-32.6538,-0.7324,0,0
61.35,-0.0142,0.2725,1.1797,15.0757,-25.2075,0,0,0
61.355,-0.0142,0.2559,1.1763,18.2495,-7.2632,2.0752,0,0
61.36,-0.0293,0.2383,1.1406,19.5313,2.0142,3.6621,0,0
61.365,-0.0293,0.2383,1.1406,19.5313,2.0142,3.6621,0,0
61.37,-0.0479,0.2207,1.083,20.5688,10.437,6.4697,0,0
61.375,-0.0547,0.2168,0.9336,21.1182,21.3013,13.1836,0,0
61.38,-0.0425,0.2349,0.8579,20.874,23.6816,16.3574,0,0
61.385,-0.0425,0.2349,0.8579,20.874,23.6816,16.3574,0,0
61.39,-0.0303,0.2432,0.7881,19.7144,24.5972,19.6533,0,0
61.395,0.0103,0.2637,0.6841,16.5405,20.6909,23.6816,0,0
61.4,0.0308,0.2822,0.6489,15.0757,17.4561,25.0854,0,0
61.405,0.0308,0.2822,0.6489,15.0757,17.4561,25.0854,0,0
61.41,0.061,0.3027,0.6279,13.5498,13.6719,25.2686,0,0
61.415,0.1133,0.3384,0.6084,9.7046,7.5684,23.4375,0,0
61.42,0.1299,0.3398,0.6064,7.8735,5.4321,21.6675,0,0
61.425,0.1299,0.3398,0.6064,7.8735,5.4321,21.6675,0,0
61.43,0.1392,0.335,0.6001,6.2866,3.9673,19.4092,0,0
61.435,0.144,0.3413,0.5942,5.0049,2.5635,16.6016,0,0
61.44,0.1465,0.3423,0.5854,3.6621,1.8921,13.4277,0,0
61.445,0.1411,0.3457,0.584,2.1362,1.9531,10.3149,0,0
61.45,0.1216,0.3525,0.5752,1.1597,2.6855,7.1411,0,0
61.455,0.0952,0.3418,0.5679,-1.0986,2.2583,3.6011,0,0
61.46,0.019,0.2998,0.5039,-2.2583,1.0376,3.1128,0,0
61.465,0.019,0.2998,0.5039,-2.2583,1.0376,3.1128,0,0
61.47,-0.0137,0.2651,0.4697,-3.2959,-0.8545,3.9673,0,0
61.475,-0.0498,0.2207,0.4243,-4.0894,-4.7607,6.1035,0,0
61.48,-0.0723,0.189,0.3794,-4.3945,-10.5591,9.0942,0,0
61.485,-0.0801,0.1772,0.3403,-5.0659,-17.334,12.3291,0,0
61.49,-0.0835,0.1748,0.3105,-6.7139,-24.6582,16.2354,0,0
61.495,-0.0571,0.1333,0.3135,-10.9253,-43.457,27.9541,0,0
61.5,-0.0571,0.1333,0.3135,-10.9253,-43.457,27.9541,0,0
61.505,-0.0571,0.1333,0.3135,-10.9253,-43.457,27.9541,0,0
61.51,-0.042,0.1221,0.3394,-11.6577,-47.2412,31.4331,0,0
61.515,-0.0244,0.1035,0.3647,-12.5732,-48.1567,34.9731,0,0
61.52,0.0063,0.1343,0.3975,-13.4277,-46.4478,38.0859,0,0
61.525,0.0356,0.1523,0.4253,-13.9771,-42.7246,40.7104,0,0
61.53,0.0688,0.1587,0.4502,-14.2822,-37.2925,41.9922,0,0
61.535,0.0874,0.146,0.4497,-13.916,-29.541,42.9077,0,0
61.54,0.1055,0.1401,0.4312,-13.0615,-22.2778,42.9077,0,0
61.545,0.1152,0.1362,0.3882,-12.207,-15.686,42.4194,0,0
61.55,0.1313,0.1436,0.334,-11.5356,-9.6436,42.5415,0,0
61.555,0.1123,0.0781,0.2881,-10.9253,-4.7607,40.2222,0,0
61.56,0.1064,0.0718,0.2163,-9.6436,-2.5024,38.0249,0,0
61.565,0.0913,0.0669,0.1494,-7.6294,-5.8594,35.0952,0,0
61.57,0.0864,0.0347,0.1035,-4.6997,-9.8267,32.5317,0,0
61.575,0.0674,-0.0205,0.0635,-1.8311,-12.2681,31.9214,0,0
61.58,0.0249,-0.0781,-0.02,0,-16.1743,31.7383,0,0
61.585,0.0122,-0.0781,-0.0977,-0.3662,-22.3389,32.2876,0,0
61.59,0.0098,-0.1426,-0.1602,1.3428,-27.0386,31.189,0,0
61.595,-0.0132,-0.1973,-0.2476,-1.0376,-34.9121,32.8979,0,0
61.6,0.0259,-0.168,-0.3242,-9.7046,-36.7432,37.7808,0,0
61.605,-0.0928,-0.2134,-0.3887,-10.7422,-48.2788,41.4429,0,0
61.61,-0.0098,-0.2769,-0.356,-22.1558,-47.7295,43.6401,0,0
61.615,-0.0308,-0.2852,-0.3242,-30.2124,-55.3589,47.4243,0,0
61.62,-0.0171,-0.3335,-0.3062,-39.6118,-52.002,51.5747,0,0
61.625,-0.0483,-0.3374,-0.2378,-46.0205,-56.4575,55.3589,0,0
61.63,-0.0322,-0.3184,-0.1582,-53.1616,-52.6123,59.6924,0,0
61.635,-0.0396,-0.3257,-0.0889,-57.9834,-50.9033,63.9038,0,0
61.64,-0.0244,-0.3462,-0.0347,-63.5986,-42.9077,68.7256,0,0
61.645,-0.021,-0.3594,-0.0215,-67.4438,-38.0859,73.4253,0,0
61.65,0.231,-0.2578,0.2168,-79.895,-9.7046,77.6367,0,0
61.655,-0.0864,-0.4199,-0.0518,-78.8574,-28.8696,78.6743,0,0
61.66,-0.0371,-0.3623,-0.002,-75.5005,-35.6445,80.9326,0,0
61.665,0.1108,-0.3052,0.0547,-75.5615,-19.2871,85.9375,0,0
61.67,0.1318,-0.3237,0.0127,-84.8999,-3.8452,85.5713,0,0
61.675,0.0962,-0.333,-0.0376,-89.7217,-0.9155,85.2051,0,0
61.68,0.1055,-0.356,-0.0361,-91.1255,-3.8452,85.022,0,0
61.685,0.1553,-0.3701,0.0044,-95.1538,-1.2817,85.022,0,0
61.69,0.2026,-0.3584,0.0269,-102.6001,9.2163,84.3506,0,0
61.695,0.1914,-0.3618,0.0049,-111.5723,17.7002,83.4351,0,0
61.7,0.1958,-0.375,-0.0063,-118.4082,20.5688,81.9092,0,0
61.705,0.208,-0.3804,0.0205,-125.6104,21.1182,79.895,0,0
61.71,0.2163,-0.3696,0.0737,-134.7046,25.3296,77.8198,0,0
61.715,0.1455,-0.4424,0.001,-139.1602,30.8228,75.4395,0,0
61.72,0.2529,-0.4541,0.2681,-161.1328,30.7007,78.2471,0,0
61.725,0.2031,-0.3789,0.2627,-165.7104,50.9644,75.1343,0,0
61.73,0.1294,-0.4116,0.2773,-174.9878,43.5181,75.5615,0,0
61.735,0.1597,-0.4458,0.3784,-176.8799,37.7808,75.6226,0,0
61.74,0.209,-0.4185,0.4458,-182.1289,36.6211,75.4395,0,0
61.745,0.2437,-0.418,0.5054,-188.8428,42.6636,74.4019,0,0
61.75,0.2422,-0.458,0.5474,-193.5425,39.978,71.167,0,0
61.755,0.248,-0.4722,0.5928,-197.876,28.3813,66.5283,0,0
61.76,0.2935,-0.5166,0.6968,-196.0449,17.4561,61.7676,0,0
61.765,0.3301,-0.5249,0.8174,-198.8525,13.5498,56.0303,0,0
61.77,0.3022,-0.5249,0.9033,-200.7446,8.1177,49.3774,0,0
61.775,0.2817,-0.519,1.0684,-200.8667,-2.9907,41.8701,0,0
61.78,0.2817,-0.5093,1.29,-199.9512,-9.7656,33.9966,0,0
61.785,0.2417,-0.5103,1.4873,-198.9746,-8.3618,27.9541,0,0
61.79,0.1528,-0.4839,1.6128,-196.8994,-7.7515,23.8037,0,0
61.795,0.0933,-0.4927,1.7344,-193.6035,-8.3618,22.522,0,0
61.8,0.0293,-0.522,1.7925,-191.5894,-5.6763,23.8647,0,0
61.805,-0.0176,-0.5342,1.8379,-190.3076,-1.9531,27.8931,0,0
61.81,-0.0479,-0.5308,1.916,-189.0259,2.8076,33.6914,0,0
61.815,-0.0435,-0.5288,2.0215,-188.4155,6.2866,39.917,0,0
61.82,-0.0156,-0.5586,2.146,-187.1948,10.5591,44.6777,0,0
61.825,0.0273,-0.5576,2.2554,-186.1572,16.5405,51.8188,0,0
61.83,0.0781,-0.5708,2.3794,-185.3027,27.2827,57.1899,0,0
61.835,0.1284,-0.5513,2.4609,-184.5703,35.8887,60.4248,0,0
61.84,0.208,-0.501,2.6084,-183.2886,48.7671,61.8896,0,0
61.845,0.2515,-0.4507,2.7158,-182.312,64.5752,60.8521,0,0
61.85,0.27,-0.4204,2.7773,-181.9458,77.3315,57.4341,0,0
61.855,0.2979,-0.3784,2.8281,-180.603,88.1958,51.5137,0,0
61.86,0.3052,-0.3472,2.8667,-176.9409,98.3276,43.5791,0,0
61.865,0.2681,-0.3145,2.8745,-170.5933,103.8208,34.4849,0,0
61.87,0.2148,-0.3071,2.8765,-161.8652,102.478,24.5972,0,0
61.875,0.1406,-0.3223,2.8677,-152.2217,96.8628,14.9536,0,0
61.88,0.0391,-0.3657,2.8428,-141.6626,87.0972,6.4087,0,0
61.885,-0.0688,-0.4131,2.8174,-129.7607,72.1436,-0.4272,0,0
61.89,-0.1782,-0.4556,2.7974,-116.8213,54.6265,-5.188,0,0
61.895,-0.2852,-0.5205,2.7773,-105.6519,36.1328,-7.2632,0,0
61.9,-0.4019,-0.6089,2.7588,-96.1914,16.7236,-6.1035,0,0
61.905,-0.5054,-0.6924,2.7466,-87.2192,-3.9673,-1.1597,0,0
61.91,-0.5762,-0.7524,2.7627,-80.6885,-22.2778,6.5918,0,0
61.915,-0.6216,-0.7852,2.8193,-76.0498,-37.3535,16.8457,0,0
61.92,-0.6499,-0.8203,2.9009,-71.5942,-49.9268,29.2358,0,0
61.925,-0.6235,-0.8193,2.9902,-67.3828,-59.5093,42.6636,0,0
61.93,-0.5747,-0.7964,3.0679,-61.8896,-64.7583,56.3965,0,0
61.935,-0.4961,-0.7642,3.167,-56.5796,-65.3687,68.5425,0,0
61.94,-0.4023,-0.7505,3.2827,-49.6826,-62.6831,78.7964,0,0
61.945,-0.3208,-0.7192,3.3584,-40.3442,-56.8237,86.792,0,0
61.95,-0.2349,-0.6558,3.3755,-29.9072,-50.9033,93.2007,0,0
61.955,-0.1445,-0.603,3.3721,-18.9819,-42.7856,97.229,0,0
61.96,-0.0747,-0.5708,3.2983,-7.2021,-35.9497,98.6328,0,0
61.965,-0.0059,-0.5449,3.2119,5.0659,-33.2642,97.6563,0,0
61.97,0.0649,-0.5122,3.1221,18.0054,-31.4941,95.1538,0,0
61.975,0.1196,-0.4746,3.0278,30.8228,-31.4331,91.4307,0,0
61.98,0.1616,-0.4502,2.9219,44.2505,-35.4614,86.2427,0,0
61.985,0.1934,-0.4263,2.8076,57.9834,-41.626,80.3223,0,0
61.99,0.2168,-0.4214,2.6992,71.4722,-48.645,73.6694,0,0
61.995,0.2178,-0.4243,2.5972,84.5337,-57.251,67.3218,0,0
62,0.2183,-0.4297,2.502,97.5952,-66.9556,61.5845,0,0
62.005,0.2139,-0.4258,2.4077,109.8633,-76.0498,56.5796,0,0
62.01,0.2095,-0.4229,2.3213,121.46,-84.3506,52.5513,0,0
62.015,0.2031,-0.4424,2.2329,132.3853,-91.4917,49.5605,0,0
62.02,0.2036,-0.4658,2.1484,141.9678,-96.7407,47.6074,0,0
62.025,0.207,-0.4868,2.0708,150.0244,-99.4873,46.3867,0,0
62.03,0.2285,-0.4927,2.0068,157.1045,-99.8535,46.0205,0,0
62.035,0.2578,-0.4883,1.9565,163.0249,-98.0835,45.4712,0,0
62.04,0.2896,-0.4771,1.9014,168.396,-93.811,44.4946,0,0
62.045,0.312,-0.4727,1.8345,173.0347,-87.5244,43.2129,0,0
62.05,0.3379,-0.4741,1.7666,176.8188,-78.6743,41.5039,0,0
62.055,0.3608,-0.4736,1.7017,179.8706,-68.1763,39.917,0,0
62.06,0.3838,-0.459,1.625,182.312,-56.7627,38.0859,0,0
62.065,0.4126,-0.4365,1.5483,184.2651,-45.2881,35.9497,0,0
62.07,0.4419,-0.4209,1.4634,185.73,-33.2031,32.959,0,0
62.075,0.4614,-0.4258,1.373,187.0117,-21.2402,29.7852,0,0
62.08,0.4673,-0.457,1.2754,188.4155,-10.2539,27.2217,0,0
62.085,0.4844,-0.4668,1.1602,189.1479,0.1831,25.2075,0,0
62.09,0.5073,-0.4556,1.0317,189.0869,9.5825,23.1934,0,0
62.095,0.5327,-0.4385,0.8955,187.1338,17.6392,20.9961,0,0
62.1,0.5562,-0.4277,0.7583,183.4717,24.8413,18.5547,0,0
62.105,0.582,-0.4468,0.6284,178.5278,30.7617,16.1743,0,0
62.11,0.6113,-0.4683,0.5078,172.4854,35.9497,13.5498,0,0
62.115,0.6421,-0.479,0.3916,165.3442,39.4287,10.6812,0,0
62.12,0.6738,-0.4678,0.2813,157.1045,41.748,7.4463,0,0
62.125,0.7051,-0.4492,0.1743,147.644,42.2974,3.7842,0,0
62.13,0.7397,-0.4229,0.0913,137.6953,42.0532,-0.3052,0,0
62.135,0.7666,-0.4053,0.0088,127.2583,39.4897,-5.3711,0,0
62.14,0.7798,-0.3828,-0.0669,117.3096,36.6821,-10.1318,0,0
62.145,0.7827,-0.375,-0.144,107.7881,28.5645,-16.0522,0,0
62.15,0.8218,-0.3726,-0.1714,99.1211,20.0195,-21.6064,0,0
62.155,0.8213,-0.3657,-0.2104,90.3931,10.6201,-28.0762,0,0
62.16,0.8125,-0.3647,-0.2236,83.8623,-3.8452,-34.5459,0,0
62.165,0.814,-0.3813,-0.2061,78.186,-17.7002,-40.4663,0,0
62.17,0.8076,-0.417,-0.1768,72.3877,-29.6021,-45.5933,0,0
62.175,0.8052,-0.4536,-0.1353,67.8711,-40.4663,-50.0488,0,0
62.18,0.8057,-0.4873,-0.0918,63.7207,-49.6216,-53.7109,0,0
62.185,0.8169,-0.5093,-0.0439,58.96,-55.8472,-56.8237,0,0
62.19,0.835,-0.522,0.0054,53.5278,-57.6172,-59.5093,0,0
62.195,0.8677,-0.5356,0.0552,47.0581,-53.894,-61.7676,0,0
62.2,0.9067,-0.5444,0.084,39.3677,-45.7764,-64.1479,0,0
62.205,0.9077,-0.5513,0.1089,32.1655,-36.9263,-66.7114,0,0
62.21,0.9531,-0.5317,0.1167,25.0244,-29.2358,-70.0684,0,0
62.215,0.9932,-0.5303,0.1509,17.334,-19.2871,-74.3408,0,0
62.22,1.0269,-0.5303,0.1733,9.9487,-6.3477,-78.6743,0,0
62.225,1.0405,-0.5381,0.1621,3.1738,5.3711,-83.5571,0,0
62.23,1.0503,-0.542,0.146,-2.3804,13.7329,-88.9282,0,0
62.235,1.0615,-0.5352,0.1128,-7.8735,19.8364,-94.7876,0,0
62.24,1.0742,-0.5112,0.0771,-14.0381,25.6958,-101.1353,0,0
62.245,1.0742,-0.4785,0.0527,-21.2402,31.0059,-107.7881,0,0
62.25,1.0527,-0.4629,0.0278,-28.3203,33.9966,-114.4409,0,0
